body_type,capacity_tons,length_ft,axles,origin,origin_lat_lng,origin_lat,origin_lng,destination,destination_lat_lng,destination_lat,destination_lng,route_name,payload_tons,truck_model_id,mileage_kmpl,driver_per_day,bata_per_trip,night_halt_per_night,depreciation_per_km,vehicle_per_trip,state_permit,maintenance_per_km,loading_per_ton,idle_hours,idle_cost_per_hour,overhead_per_trip,risk_pct,empty_return_pct
,1,9,,"Kiosk No. K-4, Third Floor, Elante Mall, Industrial Area Phase 1, Chandigarh 160002",,30.7056,76.8013,"SCO-101, Ground Floor, Nabha Gate, New Leela Bhawan Market, Patiala, Punjab 147001",,30.3391,76.3869,Route 1,1,,,,,,,,,,,,,,,0
,1,9,,"Kiosk No. K-4, Third Floor, Elante Mall, Industrial Area Phase 1, Chandigarh 160002",,30.7056,76.8013,"Ground Floor, SCO-13, Sector 10, Budanpur, Panchkula, Haryana 134109",,30.6865,76.8521,Route 1,1,,,,,,,,,,,,,,,0
,1,9,,"Kiosk No. K-4, Third Floor, Elante Mall, Industrial Area Phase 1, Chandigarh 160002",,30.7056,76.8013,"B-45, Ground Floor, Royal Palm High Street Market, VIP Road, Zirakpur, Punjab 140603",,30.6425,76.8265,Route 1,1,,,,,,,,,,,,,,,0
,1,9,,"SCO-101, Ground Floor, Nabha Gate, New Leela Bhawan Market, Patiala, Punjab 147001",,30.3391,76.3869,"Ground Floor, SCO-13, Sector 10, Budanpur, Panchkula, Haryana 134109",,30.6865,76.8521,Route 1,1,,,,,,,,,,,,,,,0
,1,9,,"SCO-101, Ground Floor, Nabha Gate, New Leela Bhawan Market, Patiala, Punjab 147001",,30.3391,76.3869,"B-45, Ground Floor, Royal Palm High Street Market, VIP Road, Zirakpur, Punjab 140603",,30.6425,76.8265,Route 1,1,,,,,,,,,,,,,,,0
,1,9,,"Ground Floor, SCO-13, Sector 10, Budanpur, Panchkula, Haryana 134109",,30.6865,76.8521,"B-45, Ground Floor, Royal Palm High Street Market, VIP Road, Zirakpur, Punjab 140603",,30.6425,76.8265,Route 1,1,,,,,,,,,,,,,,,0
,1.5,,,"Ground Floor, Kunjpura Road, Near Committee Chowk, Karnal, Haryana 132001",,29.6864,76.9942,"Shop No. 504, Ground Floor, Model Town, Panipat, Haryana 132103",,29.3905,76.9635,Route 10,1.5,Bolero-Pickup,,,,,,,,,,,,,,0
,1.5,,,"Ground Floor, Kunjpura Road, Near Committee Chowk, Karnal, Haryana 132001",,29.6864,76.9942,"Front Shop No. 139, Rohtak - Delhi Rd, Subhash Nagar, Rohtak, Haryana 124001",,28.8955,76.6066,Route 10,1.5,Bolero-Pickup,,,,,,,,,,,,,,0
,1.5,,,"Shop No. 504, Ground Floor, Model Town, Panipat, Haryana 132103",,29.3905,76.9635,"Front Shop No. 139, Rohtak - Delhi Rd, Subhash Nagar, Rohtak, Haryana 124001",,28.8955,76.6066,Route 10,1.5,Bolero-Pickup,,,,,,,,,,,,,,0
,1.5,,,"Shop 2, Main Market, Defence Colony, New Delhi - 110024",,28.5742,77.2244,"New Friends Colony Community Centre, New Delhi - 110025",,28.5621,77.2731,Route 11,1.5,Bolero-Pickup,,,,,,,,,,,,,,0
